type;x;y;port
mxp;0;0;0
mxp;0;1;0
mxp;0;2;0
mxp;0;3;0
mxp;0;4;0
mxp;0;5;0
mxp;1;0;0
mxp;1;1;0
mxp;1;2;0
mxp;1;3;0
mxp;1;4;0
mxp;1;5;0
mxp;2;0;0
mxp;2;1;0
mxp;2;2;0
mxp;2;3;0
mxp;2;4;0
mxp;2;5;0
mxp;3;0;0
mxp;3;1;0
mxp;3;2;0
mxp;3;3;0
mxp;3;4;0
mxp;3;5;0
mxp;4;0;0
mxp;4;1;0
mxp;4;2;0
mxp;4;3;0
mxp;4;4;0
mxp;4;5;0
mxp;5;0;0
mxp;5;1;0
mxp;5;2;0
mxp;5;3;0
mxp;5;4;0
mxp;5;5;0
mxp;6;0;0
mxp;6;1;0
mxp;6;2;0
mxp;6;3;0
mxp;6;4;0
mxp;6;5;0
mxp;7;0;0
mxp;7;1;0
mxp;7;2;0
mxp;7;3;0
mxp;7;4;0
mxp;7;5;0
hnf;0;1;1
hnf;0;2;1
hnf;0;3;1
hnf;0;4;1
hnf;2;1;1
hnf;2;2;1
hnf;2;3;1
hnf;2;4;1
hnf;5;1;1
hnf;5;2;1
hnf;5;3;1
hnf;5;4;1
hnf;7;1;1
hnf;7;2;1
hnf;7;3;1
hnf;7;4;1
hni;1;5;0
hni;2;0;1
hni;2;5;0
hni;3;5;0
hni;4;5;0
hni;5;0;1
hni;5;5;0
hni;6;5;0
rnid;0;0;1
rnid;0;5;1
rnid;1;5;1
rnid;2;0;0
rnid;2;1;0
rnid;2;2;0
rnid;2;3;0
rnid;2;4;0
rnid;2;5;1
rnid;3;5;1
rnid;4;5;1
rnid;5;0;0
rnid;5;1;0
rnid;5;2;0
rnid;5;3;0
rnid;5;4;0
rnid;5;5;1
rnid;6;5;1
rnid;7;0;1
rnid;7;5;1
